Local time,Ask,Bid,AskVolume,BidVolume
25.12.2023 03:40:39.038 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:40:41.298 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:40:42.854 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:40:45.163 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:40:48.828 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:40:51.137 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:40:51.840 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:40:54.149 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:40:54.852 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:40:57.160 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:03.877 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:06.133 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:09.844 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:12.155 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:12.858 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:15.165 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:15.867 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:18.176 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:18.880 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:21.139 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:21.842 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:24.152 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:24.856 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:27.169 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:27.872 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:30.132 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:30.886 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:33.145 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:33.849 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:36.159 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:36.863 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:39.172 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:39.875 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:42.185 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:42.838 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:45.146 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:45.849 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:48.157 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:51.065 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:53.271 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:54.074 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:56.285 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:41:57.087 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:41:59.294 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:00.096 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:02.303 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:03.106 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:05.262 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:06.064 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:08.271 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:12.884 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:15.141 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:15.893 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:18.150 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:18.853 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:21.165 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:21.868 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:24.177 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:24.880 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:27.139 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:30.903 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:33.162 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:33.866 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:36.175 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:36.879 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:39.138 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:45.060 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:47.269 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:48.927 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:51.136 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:51.890 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:42:54.148 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:42:57.913 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:43:00.171 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:43:00.924 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:43:03.180 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:43:12.907 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:43:15.163 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:43:18.121 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:43:20.277 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:43:21.881 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:43:24.161 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:43:24.914 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:43:27.168 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:43:36.896 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:43:39.153 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:43:42.914 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:43:45.170 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:43:48.930 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:43:51.137 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:43:54.898 GMT+0330,1.10203,1.10145,900,900
25.12.2023 03:43:57.155 GMT+0330,1.10204,1.10145,900,900
25.12.2023 03:44:00.916 GMT+0330,1.10203,1.10145,900,900
